nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  3/16/2025 10:55:51 PM ::1 GET /
 HTTP  3/16/2025 10:55:51 PM ::1 Returned 304 in 13 ms
 HTTP  3/16/2025 10:55:51 PM ::1 GET /static/js/main.3800eb08.js
 HTTP  3/16/2025 10:55:51 PM ::1 GET /static/css/main.e1f1a4b5.css
 HTTP  3/16/2025 10:55:51 PM ::1 Returned 304 in 3 ms
 HTTP  3/16/2025 10:55:51 PM ::1 Returned 304 in 2 ms
 HTTP  3/16/2025 10:55:52 PM ::1 GET /manifest.json
 HTTP  3/16/2025 10:55:52 PM ::1 Returned 304 in 2 ms
 HTTP  3/16/2025 10:55:52 PM ::1 GET /logo192.png
 HTTP  3/16/2025 10:55:52 PM ::1 Returned 304 in 2 ms
